style_id,style_name,season,gender,category,item,detail1,detail2,detail3,detail4,detail5,detail6,detail7,detail8,detail9,detail10,match_style_id,color_code,total_order_qty,total_order_tag
VDDJ16466,벨라트릭스 미드,26F,women,DOWN,,new,semi-shiny,TX4,middle,,heavy,,700fp,horizontal,,,BKL,280,473200000
VDDJ16866,벨라트릭스 미드 슈가,26F,women,DOWN,,new,soft-matte,TX1,middle,,heavy,,800fp,horizontal,,,CRS,200,258000000
VDDJ16866,벨라트릭스 미드 슈가,26F,women,DOWN,,new,soft-matte,TX1,middle,,heavy,,800fp,horizontal,,,BKS,300,387000000
VDDJ31166,라바로네,26F,women,DOWN,,carryover,semi-matte,TX1,long,,heavy,,800fp,horizontal,,VDDJ31156,IVD,600,894000000
VDDJ31166,라바로네,26F,women,DOWN,,carryover,semi-matte,TX1,long,,heavy,,800fp,horizontal,,VDDJ31156,GRD,300,447000000
VDDJ31166,라바로네,26F,women,DOWN,,carryover,semi-matte,TX1,long,,heavy,,800fp,horizontal,,VDDJ31156,BKS,1400,2086000000
VDDJ18966,알바르다 미드,26F,women,DOWN,,new,shiny,TX1,middle,,medium,,800fp,horizontal,,,BGS,150,208500000
VDDJ18966,알바르다 미드,26F,women,DOWN,,new,shiny,TX1,middle,,medium,,800fp,horizontal,,,BKS,215,298850000
VDDJ19366,네모바라 미드,26F,women,DOWN,,new,shiny,TX1,middle,,heavy,,800fp,square,,,CRS,150,193500000
VDDJ19366,네모바라 미드,26F,women,DOWN,,new,shiny,TX1,middle,,heavy,,800fp,square,,,BRD,250,322500000
VDDJ18566,마라테아 미드(FUR),26F,women,DOWN,,new,semi-matte,TX1,middle,,heavy,,800fp,horizontal,,,CRS,600,954000000
VDDJ18566,마라테아 미드(FUR),26F,women,DOWN,,new,semi-matte,TX1,middle,,heavy,,800fp,horizontal,,,BGS,400,636000000
VDDJ18566,마라테아 미드(FUR),26F,women,DOWN,,new,semi-matte,TX1,middle,,heavy,,800fp,horizontal,,,BKS,1500,2385000000
VDDJ18766,마라테아(FUR),26F,women,DOWN,,new,semi-matte,TX1,long,,heavy,,800fp,horizontal,,,IVD,400,716000000
VDDJ18766,마라테아(FUR),26F,women,DOWN,,new,semi-matte,TX1,long,,heavy,,800fp,horizontal,,,CAS,400,716000000
VDDJ18766,마라테아(FUR),26F,women,DOWN,,new,semi-matte,TX1,long,,heavy,,800fp,horizontal,,,BKS,1000,1790000000
VDDJ30766,소바라,26F,women,DOWN,,carryover,shiny,TX1,long,,heavy,,800fp,diamond,,VDDJ30756,BGL,700,903000000
VDDJ30766,소바라,26F,women,DOWN,,carryover,shiny,TX1,long,,heavy,,800fp,diamond,,VDDJ30756,OLS,200,258000000
VDDJ30766,소바라,26F,women,DOWN,,carryover,shiny,TX1,long,,heavy,,800fp,diamond,,VDDJ30756,BKS,800,1032000000
VDDJ31866,레미에,26F,women,DOWN,,carryover,shiny,TX1,long,,heavy,,800fp,horizontal,,VDDJ31856,BKS,1000,1590000000
